Date,Bitcoin,Dogecoin,Etherium
2021-06-10,36702.59765625,0.32635098695755,2471.5185546875
2021-06-11,37334.3984375,0.3193590044975281,2353.768798828125
2021-06-12,35552.515625,0.3120839893817901,2372.484375
2021-06-13,39097.859375,0.3243820071220398,2508.3916015625
2021-06-14,40218.4765625,0.3320850133895874,2537.89111328125
2021-06-15,40406.26953125,0.3283810019493103,2610.936767578125
2021-06-16,38347.0625,0.307761013507843,2367.66357421875
2021-06-17,38053.50390625,0.3064959943294525,2372.001953125
2021-06-18,35787.24609375,0.2934719920158386,2231.733154296875
2021-06-19,35615.87109375,0.2873559892177582,2178.4990234375
2021-06-20,35698.296875,0.2809000015258789,2246.364501953125
2021-06-21,31676.693359375,0.1786909997463226,1888.447509765625
2021-06-22,32505.66015625,0.1910309940576553,1874.9500732421875
2021-06-23,33723.02734375,0.2321739941835403,1989.736328125
2021-06-24,34662.4375,0.2627820074558258,1988.456298828125
2021-06-25,31637.779296875,0.2391529977321624,1813.21728515625
2021-06-26,32186.27734375,0.2447839975357055,1829.2392578125
2021-06-27,34649.64453125,0.2644500136375427,1978.8946533203125
2021-06-28,34434.3359375,0.2568570077419281,2079.657470703125
2021-06-29,35867.77734375,0.2627690136432647,2160.768310546875
2021-06-30,35040.8359375,0.2542150020599365,2274.547607421875
2021-07-01,33572.1171875,0.2445490062236786,2113.60546875
2021-07-02,33897.046875,0.2452639937400818,2150.040283203125
2021-07-03,34668.546875,0.246410995721817,2226.1142578125
2021-07-04,35287.78125,0.2464829981327057,2321.72412109375
2021-07-05,33746.00390625,0.2316139936447143,2198.58251953125
2021-07-06,34235.1953125,0.2344219982624054,2324.679443359375
2021-07-07,33855.328125,0.2241259962320327,2315.161865234375
2021-07-08,32877.37109375,0.2075970023870468,2120.0263671875
2021-07-09,33798.01171875,0.2198639959096908,2146.6923828125
2021-07-10,33520.51953125,0.213919997215271,2111.403564453125
2021-07-11,34240.1875,0.2158560007810592,2139.664794921875
2021-07-12,33155.84765625,0.2080480009317398,2036.7210693359375
2021-07-13,32702.025390625,0.2000029981136322,1940.083984375
2021-07-14,32822.34765625,0.1973239928483963,1994.331298828125
2021-07-15,31780.73046875,0.1848880052566528,1911.1756591796875
2021-07-16,31421.5390625,0.1723449975252151,1880.3829345703125
2021-07-17,31533.068359375,0.1861249953508377,1898.8251953125
2021-07-18,31796.810546875,0.1822330057621002,1895.5521240234375
2021-07-19,30817.83203125,0.1735559999942779,1817.296630859375
2021-07-20,29807.34765625,0.1708009988069534,1787.5107421875
2021-07-21,32110.693359375,0.1903489977121353,1990.9708251953125
2021-07-22,32313.10546875,0.1913029998540878,2025.2027587890625
2021-07-23,33581.55078125,0.1947640031576156,2124.776611328125
2021-07-24,34292.4453125,0.1973190009593963,2189.21875
2021-07-25,35350.1875,0.1978639960289001,2191.373779296875
2021-07-26,37337.53515625,0.2044190019369125,2233.36669921875
2021-07-27,39406.94140625,0.2058990001678466,2298.33349609375
2021-07-28,39995.90625,0.2053920030593872,2296.54541015625
2021-07-29,40008.421875,0.2046190053224563,2380.956787109375
2021-07-30,42235.546875,0.2088209986686706,2466.96142578125
2021-07-31,41626.1953125,0.2083140015602111,2536.2099609375
